date,product,region,amount,quantity
2026-01-05,Laptop,North,1200.00,2
2026-01-12,Phone,South,800.00,4
2026-01-20,Tablet,East,450.00,3
2026-01-28,Laptop,West,1200.00,1
2026-02-03,Phone,North,800.00,5
2026-02-10,Tablet,South,450.00,2
2026-02-18,Laptop,East,1200.00,3
2026-02-25,Phone,West,800.00,2
2026-03-04,Tablet,North,450.00,6
2026-03-11,Laptop,South,1200.00,2
2026-03-19,Phone,East,800.00,3
2026-03-26,Tablet,West,450.00,1
2026-04-02,Laptop,North,1200.00,4
2026-04-09,Phone,South,800.00,1
2026-04-17,Tablet,East,450.00,2
2026-04-24,Laptop,West,1200.00,2
2026-05-01,Phone,North,800.00,3
2026-05-08,Tablet,South,450.00,4
2026-05-15,Laptop,East,1200.00,1
2026-05-22,Phone,West,800.00,2
