CustomerID,Segment,SignupDate,LastPurchase,TotalSpend,Active
C001,Retail,2022-05-18,2024-05-22,3900.00,true
C002,Wholesale,2021-12-03,2024-06-11,41500.00,true
C003,Direct,2023-07-26,2023-11-14,760.00,false
C004,Retail,2022-09-07,2024-06-19,4650.00,true
C005,Wholesale,2021-08-15,2023-10-30,38200.00,false
C006,Direct,2023-03-22,2024-05-08,1180.00,true
C007,Retail,2022-02-11,2024-04-27,3250.00,true
C008,Wholesale,2022-10-29,2024-01-16,45900.00,false
C009,Direct,2023-11-05,2023-12-20,540.00,false
C010,Retail,2021-11-23,2024-06-02,5100.00,true
C011,Wholesale,2022-04-14,2024-05-30,36700.00,true
C012,Direct,2023-01-09,2024-06-24,1420.00,true
C013,Retail,2021-06-27,2023-09-12,2870.00,false
C014,Wholesale,2023-05-31,2024-04-18,33400.00,true
C015,Direct,2022-12-16,2024-02-07,690.00,false
C016,Retail,2022-07-08,2024-06-15,4380.00,true
C017,Wholesale,2021-09-25,2023-08-21,47300.00,false
C018,Direct,2023-08-13,2024-05-26,1630.00,true
